标的证券代码	标的证券简称	本日融资余额(元)	本日融资买入额(元)	本日融资偿还额(元)	本日融券余量	本日融券卖出量	本日融券偿还量
600639	浦东金桥	151032446	2975951	3231650	189666	500	0
600640	号百控股	407862227	6324438	8992064	103304	10700	2800
600641	万业企业	791257053	24952577	29534158	4714	1200	0
600642	申能股份	261846972	5684361	3026875	1005600	50000	89700
600643	爱建集团	613037580	12400845	9880707	343291	23000	33800
600645	中源协和	968373282	7390569	44227389	123100	1800	0
600648	外高桥	935585661	19549464	12187112	325534	1200	0
600649	城投控股	1104529155	9537983	7052752	486629	300	27300
600653	申华控股	170681713	598623	2123031	0	0	0
600655	豫园股份	369688680	6095776	4653316	348472	4200	4200
600657	信达地产	142420410	4195852	6728063	240513	0	26600
600660	福耀玻璃	1120232843	43442266	50165010	1062106	86406	102000
600661	昂立教育	572046855	0	234404	0	0	0
600662	强生控股	439876521	3512304	3271345	2600	0	0
600663	陆家嘴	198226858	1778605	2629210	15416	3000	1000
600664	哈药股份	365861165	2870900	2473208	496461	600	104500
600667	太极实业	1046555054	22249295	35477463	2545045	19100	973700
600668	尖峰集团	624444772	6316722	15487071	700	700	0
600673	东阳光	906596445	6569053	10520854	323875	20200	0
600674	川投能源	748339642	21003979	22405592	491300	301100	48800
600675	中华企业	399933838	1231891	2749650	475517	200	38002
600676	交运股份	190516649	803508	1487413	2689400	0	0
600681	百川能源	72422421	1277503	2486565	82200	0	0
600684	珠江实业	275477707	1034863	2023082	3300	3300	0
600685	中船防务	459136439	30444183	33399380	193200	47300	5800
600686	金龙汽车	245393646	6417897	7140334	0	0	0
600688	上海石化	240244524	3314920	2598161	119400	4000	21100
600690	海尔智家	1097998680	76053152	56301207	4798633	141600	28900
600691	阳煤化工	94119990	1286625	1839431	30000	0	0
600692	亚通股份	295430777	15226827	7639538	0	0	0
600694	大商股份	624633573	38685068	17571603	125725	1100	5400
600695	绿庭投资	135946313	4207813	7685976	70000	0	4400
600699	均胜电子	1130523710	17184327	27506170	636615	600	17800
600703	三安光电	4138889230	161713318	204858567	1998503	363300	225000
600704	物产中大	584592731	14294933	16947857	901600	143100	62600
600705	中航资本	1491463933	28483152	33002690	1092946	22000	152900
600707	彩虹股份	400588088	71231454	81987695	341900	14300	14700
600708	光明地产	158313314	3563179	5358544	17700	0	24300
600710	苏美达	158590706	4303170	8144879	1089600	3000	0
600711	盛屯矿业	1241480001	83497780	129228255	26700	0	0
600716	凤凰股份	223503273	6938263	5009647	10800	0	0
600717	天津港	283763707	1909136	9056578	438832	2100	23600
600718	东软集团	1157979333	9911445	18133832	466475	41400	18100
600720	祁连山	898751562	41612880	40515619	223665	29700	39300
600722	金牛化工	161941001	29873769	28042478	86000	0	0
600728	佳都科技	1435980470	28358550	37843088	506402	8000	42200
600729	重庆百货	468899235	7978665	8772740	82716	200	2200
600730	中国高科	217672525	1673636	5631763	4000	0	0
600733	北汽蓝谷	605533887	23131589	44896503	17135048	1230500	1834183
600736	苏州高新	176693554	6931258	4995713	0	0	0
600737	中粮糖业	932492155	14512190	22501174	486779	4500	20500
